Data,Otwarcie,Zamkniecie,Maks.,Min.,Obrot (mln. zl),Zmiana (%)
2022-04-02,174.54,175.76,176.7,173.1,38.73,0
2022-04-01,174,175.76,176.7,173.1,39.86,1.16
2022-03-31,180.5,173.74,182.02,173.74,78.68,-4.34
2022-03-30,178.3,181.62,182.8,177.8,51.44,1.86
2022-03-29,177.24,178.3,179.62,174.5,48.93,1.08
2022-03-28,175.12,176.4,178.86,173.78,36.5,0.55
2022-03-25,176.1,175.44,178.94,174,38.7,-0.31
2022-03-24,178,175.98,178.02,174,41.74,-1.11
2022-03-23,174.88,177.96,181.4,174.3,87.89,2.17
2022-03-22,186.94,174.18,187.14,171.68,195.88,1.67
2022-03-21,168.56,171.32,172.8,168.2,31.25,0.71
2022-03-18,173.78,170.12,174.38,168.2,86.48,-1.66
2022-03-17,171.5,173,173.9,168.8,66.67,1.59
2022-03-16,169,170.3,172.36,166.06,87.98,2.02
2022-03-15,163,166.92,169.4,161.74,58.88,2.59
2022-03-14,163.64,162.7,166.7,160.52,49.23,-0.5
2022-03-11,160.34,163.52,165.28,158.52,55.95,3.49
2022-03-10,162.72,158,164.38,158,47.66,-2.51
2022-03-09,160.4,162.06,164.5,160.16,56.98,2.6
2022-03-08,162,157.96,164.88,156,69.72,-3.02
2022-03-07,158,162.88,163.48,155,92.28,0.99
2022-03-04,163,161.28,165.88,159.56,50.83,-1.06
2022-03-03,171.5,163,172,163,72.6,-5.52
2022-03-02,167,172.52,175,165.98,100.15,2.51
2022-03-01,170,168.3,171.96,166.92,101.53,-0.06
2022-02-28,161.42,168.4,170,159.04,109.43,2.43
2022-02-25,164.32,164.4,167.48,160.22,70.26,2.84
2022-02-24,160,159.86,164,150.2,121.31,-5.63
2022-02-23,175.74,169.4,179.9,169,73.22,-0.99
2022-02-22,166,171.1,171.1,159.2,68.07,1.24
2022-02-21,176.56,169,177.2,168.38,55.14,-3.32
2022-02-18,180,174.8,182.32,174.8,48.55,-2.89
2022-02-17,182,180,183.8,178.6,62.97,-0.99
2022-02-16,187.5,181.8,188,180.2,61.42,0.52
2022-02-15,180,180.86,187.36,179.42,114.46,1.15
2022-02-14,173.68,178.8,180.78,172.9,82.54,0.44
2022-02-11,180.76,178.02,180.76,176.8,43.18,-1.91
2022-02-10,183.8,181.48,184,178.16,35.87,-1.15
2022-02-09,179.8,183.6,183.6,177.94,66.22,2.88
2022-02-08,179.26,178.46,180,173.4,87.43,-0.61
2022-02-07,178.02,179.56,181.32,176,72.73,0.94
2022-02-04,183,177.88,187.34,177.88,65.09,-3.85
2022-02-03,183.24,185,185.84,182.46,20.72,-0.45
2022-02-02,182,185.84,186.6,180.94,68.86,2.71
2022-02-01,181.28,180.94,185.9,177.82,160.49,0.49
2022-01-31,169.2,180.06,180.06,166.5,91.67,8.33
2022-01-28,175,166.22,176.9,166.1,80.22,-5.23
2022-01-27,171.96,175.4,175.72,168.56,46.58,1.32
2022-01-26,173.5,173.12,177.2,172.02,55.02,0.17
2022-01-25,178,172.82,180.88,172.4,90.62,-2.91
2022-01-24,185,178,187.5,176,88.77,-4.3
2022-01-21,189,186,191,184.16,70.13,-2.11
2022-01-20,189.3,190,192.36,187.48,74.89,1.2
2022-01-19,192,187.74,192.38,187,102.69,-3.23
2022-01-18,190,194,208.1,186.46,292.27,1.57
2022-01-17,191.5,191,191.82,188.7,21.7,0
