Data,Otwarcie,Zamkniecie,Maks.,Min.,Obrot (mln. zl),Zmiana (%)
2022-04-01,113.45,117.6,117.75,113.45,112.21,0
2022-04-01,113.45,117.6,117.75,113.45,129.02,4.16
2022-03-31,115,112.9,116.4,112.9,101.39,-1.66
2022-03-30,116.15,114.8,117,113.5,89.8,-2.09
2022-03-29,108,117.25,117.75,106.85,171.39,9.22
2022-03-28,108.65,107.35,110.55,106.8,116.88,-0.42
2022-03-25,110.5,107.8,110.55,106,107.49,-2.09
2022-03-24,110.3,110.1,111.7,109.1,262.94,0.64
2022-03-23,111.1,109.4,112,107.65,172.71,-0.55
2022-03-22,109.5,110,111.9,108.8,100.14,0.92
2022-03-21,112.75,109,115.15,108.45,128.07,-2.72
2022-03-18,113.2,112.05,114,111.75,183.58,-1.28
2022-03-17,114.4,113.5,116.7,111.7,165.15,0.67
2022-03-16,109.95,112.75,114.3,109.4,205.14,4.06
2022-03-15,103.65,108.35,109.5,103.6,93.42,3.59
2022-03-14,106.9,104.6,108.1,103.3,87.9,-0.38
2022-03-11,102,105,108.3,101.8,92.32,3.81
2022-03-10,106.8,101.15,107.15,100.65,170.95,-3.94
2022-03-09,98.2,105.3,106.9,97.3,212.22,10.77
2022-03-08,93.8,95.06,101,92.14,260.55,1.34
2022-03-07,86.04,93.8,97.5,82.46,389.63,2.49
2022-03-04,102.6,91.52,102.6,91.24,301.91,-12.21
2022-03-03,108,104.25,108.55,102.85,187.6,-2.43
2022-03-02,104.85,106.85,109,102.1,236.49,2
2022-03-01,115.25,104.75,117.55,104.75,260.65,-9.39
2022-02-28,114.5,115.6,118,110.8,375.44,-2.53
2022-02-25,106,118.6,118.7,105.5,269.68,17.14
2022-02-24,108.75,101.25,112,98.52,588.61,-14.52
2022-02-23,120.4,118.45,123,118.05,103.25,-1.41
2022-02-22,116,120.15,121.5,114.3,155.37,0.54
2022-02-21,128.15,119.5,129.2,119.5,161.05,-6.75
2022-02-18,129,128.15,131.45,128.15,52.41,-1.61
2022-02-17,135,130.25,135,130.2,57.82,-3.7
2022-02-16,134.15,135.25,136.4,132.6,86.56,2.04
2022-02-15,132,132.55,135.2,131.3,104.83,1.18
2022-02-14,129.5,131,133.25,127.2,144.07,-1.61
2022-02-11,134.3,133.15,135.2,131,194.07,-2.24
2022-02-10,137.1,136.2,137.7,134.7,107.28,-1.23
2022-02-09,138.1,137.9,138.5,136.25,122.26,0.22
2022-02-08,133.9,137.6,137.6,133.25,94.08,3.38
2022-02-07,134.8,133.1,136,131.2,116.83,-0.97
2022-02-04,138.2,134.4,138.35,134.2,113.81,-2.36
2022-02-03,137.45,137.65,138.15,135.85,58.79,0.15
2022-02-02,138.25,137.45,138.9,136.35,110.97,0.37
2022-02-01,136,136.95,138.4,136,57.58,1.07
2022-01-31,134.1,135.5,136,132.7,152.73,2.15
2022-01-28,135.45,132.65,135.45,130.3,120.02,-1.74
2022-01-27,132,135,137.15,130.55,148.75,1.69
2022-01-26,130.05,132.75,133.5,130.05,114.72,2.23
2022-01-25,127.75,129.85,130.7,126.75,139.62,1.45
2022-01-24,133.1,128,136.3,126.1,234.72,-4.55
2022-01-21,133.5,134.1,134.45,132.9,153.28,-0.33
2022-01-20,134.6,134.55,135.5,132.75,138.19,0.79
2022-01-19,131.5,133.5,136.25,130.2,102.36,0.98
2022-01-18,133.45,132.2,133.6,131.1,67.55,-1.38
2022-01-17,135.25,134.05,137,133.65,41.98,-1.32
2022-01-14,135.1,135.85,137,133.25,120.6,-0.44
2022-01-13,135.95,136.45,137.45,134.65,154.33,0.37
